interval,numdestroyed,nummigrations,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
22,4,4,"[721.575372872471, 594.0383277997707, 694.8971721468889, 597.5360002847772]",652.011718275977,"[0.014521959999999997, 0.26403712, 0.1317202, 0.0866308]",0.12422752000000001,1,25.0,"[1, 1, 1, 1]"
23,3,2,"[687.493904709075, 342.0132878220551, 111.34580252040281]",380.2843316838443,"[0.27179008, 0.005871599999999999, 0.08068919999999999]",0.1194502933333333,1,33.333333333333336,"[1, 1, 1]"
24,2,2,"[1186.999951207304, 813.8107015444631]",1000.4053263758835,"[0.7745478933333334, 0.2673357333333333]",0.5209418133333333,1,50.0,"[1, 1]"
25,4,4,"[764.784654364308, 442.6387600957377, 889.614430120254, 904.0776046196347]",750.2788622999836,"[0.2080368, 0.058970453333333325, 0.07319576, 0.8568322133333335]",0.2992588066666667,1,25.0,"[1, 1, 1, 1]"
26,4,5,"[681.69697405218, 1144.259534258551, 599.3774651636354, 226.74918575119008]",663.0207898063891,"[0.12333119999999999, 0.11402086666666668, 0.06019375999999999, 0.078592]",0.09403445666666667,1,25.0,"[1, 1, 1, 1]"
27,2,2,"[451.46986008792555, 698.9000414672549]",575.1849507775903,"[0.06263466666666664, 0.073]",0.06781733333333331,1,50.0,"[1, 1]"
28,4,1,"[615.3618045217463, 893.687386982072, 482.2972200420081, 316.15705973651814]",576.8758678205861,"[0.043620719999999995, 0.19125968000000002, 0.0671088, 0.21768384]",0.12991826,1,25.0,"[1, 1, 1, 1]"
29,5,6,"[439.23202451099206, 889.6258939602541, 499.7670688615671, 883.1968924812509, 854.4129078782704]",713.2469575384669,"[0.06603103999999999, 0.08465959999999999, 0.07632019999999999, 0.08955439999999999, 0.08479586666666666]",0.08027222133333332,1,20.0,"[1, 1, 1, 1, 1]"
30,0,1,[],0.0,[],0.0,1,0.0,[]
31,3,3,"[317.2905273783978, 707.2715547079662, 383.0237493974515]",469.19527716127186,"[0.19461552, 0.09327193333333333, 0.08977679999999999]",0.12588808444444444,1,33.333333333333336,"[1, 1, 1]"
32,4,3,"[771.2523433435432, 863.1123583426179, 895.4017418143343, 697.8237805695644]",806.897556017515,"[0.012582000000000001, 2.0155784533333336, 0.008597679999999998, 0.05840266666666666]",0.5237902000000001,1,25.0,"[1, 1, 1, 1]"
33,0,1,[],0.0,[],0.0,1,0.0,[]
