interval,totalcontainers,newcontainers,deployed,migrations,inqueue
925,2765,3,3,3,0
926,2770,5,5,5,0
927,2772,2,2,2,0
928,2776,4,4,4,0
929,2779,3,3,3,0
930,2781,2,2,2,0
931,2783,2,2,2,0
932,2787,4,4,4,0
933,2790,3,3,3,0
934,2792,2,2,2,0
935,2795,3,3,3,0
936,2799,4,4,4,0
937,2804,5,5,5,0
938,2806,2,2,2,0
939,2808,2,2,2,0
940,2811,3,3,3,0
941,2815,4,4,4,0
942,2817,2,2,2,0
943,2820,3,3,3,0
944,2825,5,5,5,0
945,2827,2,2,2,0
946,2831,4,4,4,0
947,2833,2,2,2,0
948,2837,4,4,4,0
949,2840,3,3,3,0
950,2843,3,3,3,0
951,2845,2,2,2,0
952,2849,4,4,4,0
953,2850,1,1,1,0
954,2853,3,3,3,0
955,2856,3,3,3,0
956,2858,2,2,2,0
957,2861,3,3,3,0
958,2864,3,3,3,0
959,2867,3,3,3,0
960,2871,4,4,4,0
961,2874,3,3,3,0
962,2876,2,2,2,0
963,2880,4,4,4,0
964,2884,4,4,4,0
965,2886,2,2,2,0
966,2888,2,2,2,0
967,2893,5,5,5,0
968,2896,3,3,3,0
969,2897,1,1,1,0
970,2900,3,3,3,0
971,2905,5,5,5,0
972,2907,2,2,2,0
973,2910,3,3,3,0
974,2913,3,3,3,0
975,2916,3,3,3,0
976,2920,4,4,4,0
977,2923,3,3,3,0
978,2926,3,3,3,0
979,2928,2,2,2,0
980,2931,3,3,3,0
981,2934,3,3,3,0
982,2937,3,3,3,0
983,2939,2,2,2,0
984,2943,4,4,4,0
985,2946,3,3,3,0
986,2948,2,2,2,0
987,2952,4,4,4,0
988,2955,3,3,3,0
989,2957,2,2,2,0
990,2961,4,4,4,0
991,2964,3,3,3,0
992,2968,4,4,4,0
993,2970,2,2,2,0
994,2974,4,4,4,0
995,2978,4,4,4,0
996,2980,2,2,2,0
997,2984,4,4,4,0
998,2986,2,2,2,0
999,2988,2,2,2,0
1000,2992,4,4,4,0
1001,2994,2,2,2,0
