criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
gini, None, None, 100, 2, 1000, 0.473 , 4.6min
gini, None, None, 100, 10, 1000, 0.478 , 4.7min
gini, None, sqrt, 1, 2, 500, 0.609 , 1.4min
gini, None, sqrt, 1, 5, 500, 0.649 , 1.4min
gini, None, sqrt, 1, 10, 200, 0.594 ,  31.6s
gini, None, sqrt, 1, 10, 1000, 0.642 , 2.6min
gini, None, sqrt, 5, 2, 500, 0.587 , 1.3min
gini, None, sqrt, 5, 5, 500, 0.567 , 1.3min
gini, None, sqrt, 5, 10, 200, 0.558 ,  29.1s
gini, None, sqrt, 5, 10, 1000, 0.573 , 2.5min
gini, None, sqrt, 20, 2, 1000, 0.517 , 2.3min
gini, None, sqrt, 20, 10, 500, 0.533 , 1.2min
gini, None, sqrt, 20, 20, 500, 0.517 , 1.2min
gini, None, sqrt, 50, 2, 200, 0.440 ,  23.7s
gini, None, sqrt, 50, 5, 200, 0.473 ,  30.5s
gini, None, sqrt, 50, 5, 200, 0.461 ,  26.3s
gini, None, sqrt, 50, 5, 1000, 0.472 , 2.1min
gini, None, sqrt, 50, 20, 500, 0.453 , 1.1min
gini, None, sqrt, 100, 2, 500, 0.331 ,  59.5s
gini, None, sqrt, 100, 5, 200, 0.323 ,  24.3s
gini, None, sqrt, 100, 5, 1000, 0.338 , 2.0min
gini, None, sqrt, 100, 20, 1000, 0.328 , 2.0min
gini, None, log2, 1, 5, 200, 0.587 ,  31.3s
gini, None, log2, 1, 5, 1000, 0.600 , 2.6min
gini, None, log2, 1, 20, 500, 0.639 , 1.3min
gini, None, log2, 5, 2, 500, 0.586 , 1.3min
gini, None, log2, 5, 5, 200, 0.577 ,  29.8s
gini, None, log2, 5, 10, 200, 0.588 ,  35.4s
gini, None, log2, 5, 10, 200, 0.568 ,  30.9s
gini, None, log2, 5, 10, 1000, 0.567 , 2.5min
gini, None, log2, 20, 2, 500, 0.516 , 1.2min
gini, None, log2, 20, 5, 500, 0.537 , 1.2min
gini, None, None, 1, 2, 1000, 0.673 , 6.0min
gini, None, None, 1, 10, 1000, 0.663 , 6.0min
gini, None, None, 5, 2, 500, 0.632 , 3.0min
gini, None, None, 5, 5, 500, 0.608 , 2.9min
gini, None, None, 5, 10, 200, 0.683 , 1.2min
gini, None, None, 5, 10, 1000, 0.632 , 5.8min
gini, None, None, 20, 2, 1000, 0.553 , 5.4min
gini, None, None, 20, 10, 500, 0.554 , 2.7min
gini, None, None, 20, 20, 200, 0.555 , 1.1min
gini, None, None, 20, 20, 1000, 0.558 , 5.3min
gini, None, None, 50, 5, 1000, 0.530 , 4.9min
gini, None, None, 50, 20, 500, 0.525 , 2.5min
gini, None, None, 100, 2, 500, 0.476 , 2.4min
gini, None, None, 100, 5, 200, 0.474 ,  56.3s
gini, None, None, 100, 10, 200, 0.494 , 1.1min
gini, None, None, 100, 10, 200, 0.478 ,  57.9s
gini, None, None, 100, 10, 1000, 0.495 , 4.8min
gini, None, sqrt, 1, 2, 1000, 0.646 , 2.7min
gini, None, sqrt, 1, 10, 200, 0.590 ,  30.9s
gini, None, sqrt, 1, 10, 1000, 0.607 , 2.6min
