criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score,total time
entropy, 20, sqrt, 1, 2, 200, 0.608 ,  49.4s
entropy, 20, sqrt, 1, 2, 1000, 0.621 , 4.0min
entropy, 20, sqrt, 1, 10, 500, 0.649 , 2.0min
entropy, 20, sqrt, 1, 20, 500, 0.567 , 1.9min
entropy, 20, sqrt, 5, 2, 200, 0.556 ,  43.4s
entropy, 20, sqrt, 5, 2, 1000, 0.571 , 3.7min
entropy, 20, sqrt, 5, 10, 500, 0.583 , 1.9min
entropy, 20, sqrt, 5, 20, 500, 0.565 , 1.9min
entropy, 20, sqrt, 20, 2, 500, 0.517 , 1.7min
entropy, 20, sqrt, 20, 5, 200, 0.533 ,  40.0s
entropy, 20, sqrt, 20, 5, 1000, 0.535 , 3.4min
entropy, 20, sqrt, 20, 20, 1000, 0.519 , 3.4min
entropy, 20, sqrt, 50, 5, 500, 0.445 , 1.6min
entropy, 20, sqrt, 50, 10, 500, 0.444 , 1.6min
entropy, 20, sqrt, 50, 20, 500, 0.474 , 1.6min
entropy, 20, sqrt, 100, 2, 200, 0.363 ,  34.1s
entropy, 20, sqrt, 100, 2, 1000, 0.359 , 2.9min
entropy, 20, sqrt, 100, 10, 1000, 0.365 , 2.9min
entropy, 20, log2, 1, 2, 500, 0.587 , 2.0min
entropy, 10, log2, 20, 20, 500, 0.507 , 1.6min
entropy, 10, log2, 50, 2, 500, 0.436 , 1.5min
entropy, 10, log2, 50, 5, 200, 0.438 ,  34.8s
entropy, 10, log2, 50, 5, 1000, 0.429 , 2.9min
entropy, 10, log2, 50, 20, 1000, 0.459 , 2.9min
entropy, 10, log2, 100, 5, 500, 0.360 , 1.4min
entropy, 10, log2, 100, 10, 500, 0.366 , 1.4min
entropy, 10, log2, 100, 20, 200, 0.338 ,  32.0s
entropy, 10, log2, 100, 20, 1000, 0.340 , 2.9min
entropy, 20, None, 1, 5, 200, 0.659 , 1.9min
entropy, 20, None, 1, 5, 1000, 0.683 , 9.1min
entropy, 20, None, 1, 20, 200, 0.693 , 1.8min
entropy, 20, None, 1, 20, 1000, 0.642 , 8.9min
entropy, 20, None, 5, 5, 1000, 0.634 , 8.6min
entropy, 20, None, 5, 20, 500, 0.639 , 4.4min
entropy, 20, None, 20, 2, 200, 0.560 , 1.6min
entropy, 20, None, 20, 5, 200, 0.600 , 1.7min
entropy, 20, None, 20, 5, 200, 0.587 , 1.7min
entropy, 20, None, 20, 5, 500, 0.559 , 4.1min
entropy, 20, None, 20, 10, 500, 0.562 , 4.0min
entropy, 20, None, 20, 20, 500, 0.590 , 4.1min
entropy, 20, None, 50, 2, 200, 0.535 , 1.5min
entropy, 20, None, 50, 2, 1000, 0.541 , 7.3min
entropy, 20, None, 50, 10, 1000, 0.534 , 7.4min
entropy, 20, None, 100, 2, 500, 0.472 , 3.4min
entropy, 20, None, 100, 5, 200, 0.481 , 1.4min
entropy, 20, None, 100, 5, 1000, 0.486 , 6.8min
entropy, 20, None, 100, 20, 1000, 0.471 , 6.8min
entropy, 20, sqrt, 1, 5, 1000, 0.648 , 3.8min
entropy, 20, sqrt, 1, 20, 1000, 0.603 , 3.7min
entropy, 20, sqrt, 5, 5, 1000, 0.548 , 3.7min
entropy, 20, sqrt, 5, 20, 500, 0.570 , 1.9min
entropy, 20, sqrt, 20, 2, 500, 0.535 , 1.7min
entropy, 20, sqrt, 20, 5, 500, 0.532 , 1.7min
entropy, 20, sqrt, 20, 10, 200, 0.530 ,  39.4s
entropy, 20, sqrt, 20, 10, 1000, 0.534 , 3.4min
entropy, 20, sqrt, 50, 2, 1000, 0.454 , 3.1min
entropy, 20, sqrt, 50, 10, 500, 0.476 , 1.6min
entropy, 20, sqrt, 50, 20, 200, 0.459 ,  37.6s
entropy, 20, sqrt, 100, 2, 200, 0.374 ,  39.8s
entropy, 20, sqrt, 100, 2, 200, 0.378 ,  35.5s
entropy, 20, sqrt, 100, 2, 1000, 0.370 , 2.9min
entropy, 20, sqrt, 100, 10, 200, 0.356 ,  32.7s
entropy, 20, sqrt, 100, 10, 1000, 0.363 , 2.9min
entropy, 20, log2, 1, 2, 1000, 0.586 , 3.9min
entropy, 20, log2, 1, 10, 500, 0.653 , 1.9min
entropy, 20, log2, 1, 20, 500, 0.551 , 1.9min
entropy, 10, log2, 20, 5, 1000, 0.506 , 3.0min
entropy, 10, log2, 20, 20, 1000, 0.495 , 3.0min
entropy, 10, log2, 50, 5, 500, 0.427 , 1.5min
entropy, 10, log2, 50, 10, 500, 0.455 , 1.5min
entropy, 10, log2, 50, 20, 200, 0.445 ,  33.3s
entropy, 10, log2, 50, 20, 1000, 0.442 , 3.0min
entropy, 10, log2, 100, 5, 1000, 0.350 , 2.7min
entropy, 10, log2, 100, 20, 500, 0.337 , 1.4min
entropy, 20, None, 1, 2, 500, 0.604 , 4.5min
entropy, 20, None, 1, 5, 1000, 0.660 , 8.9min
entropy, 20, None, 1, 20, 500, 0.673 , 4.5min
entropy, 20, None, 5, 2, 200, 0.636 , 1.7min
entropy, 20, None, 5, 5, 200, 0.656 , 1.8min
entropy, 20, None, 5, 5, 200, 0.609 , 1.8min
entropy, 20, None, 5, 5, 500, 0.632 , 4.4min
entropy, 20, None, 5, 10, 500, 0.664 , 4.4min
entropy, 20, None, 5, 20, 500, 0.668 , 4.4min
entropy, 20, None, 20, 2, 500, 0.580 , 4.1min
entropy, 20, None, 20, 5, 200, 0.593 , 1.6min
entropy, 20, None, 20, 5, 1000, 0.592 , 7.9min
entropy, 20, None, 20, 20, 500, 0.561 , 4.0min
entropy, 20, None, 50, 2, 500, 0.537 , 3.8min
entropy, 20, None, 50, 5, 500, 0.538 , 3.8min
entropy, 20, None, 50, 10, 200, 0.537 , 1.5min
entropy, 20, None, 50, 20, 200, 0.543 , 1.6min
entropy, 20, None, 50, 20, 200, 0.537 , 1.5min
entropy, 20, None, 50, 20, 1000, 0.538 , 7.5min
entropy, 20, None, 100, 5, 1000, 0.491 , 6.9min
entropy, 20, None, 100, 20, 200, 0.472 , 1.4min
entropy, 20, None, 100, 20, 1000, 0.481 , 6.7min
entropy, 20, sqrt, 1, 10, 200, 0.644 ,  46.5s
entropy, 20, sqrt, 1, 10, 1000, 0.639 , 3.8min
entropy, 20, sqrt, 5, 2, 1000, 0.585 , 3.7min
entropy, 20, sqrt, 5, 10, 200, 0.588 ,  43.7s
entropy, 20, sqrt, 5, 10, 1000, 0.569 , 3.7min
entropy, 20, sqrt, 20, 2, 1000, 0.531 , 3.4min
entropy, 20, sqrt, 20, 10, 500, 0.532 , 1.7min
entropy, 20, sqrt, 20, 20, 500, 0.530 , 1.7min
entropy, 20, sqrt, 50, 2, 200, 0.464 ,  36.9s
entropy, 20, sqrt, 50, 2, 1000, 0.448 , 3.1min
entropy, 20, sqrt, 50, 10, 1000, 0.473 , 3.2min
entropy, 20, sqrt, 100, 2, 500, 0.367 , 1.5min
entropy, 20, sqrt, 100, 5, 200, 0.361 ,  34.4s
entropy, 20, sqrt, 100, 5, 1000, 0.351 , 2.8min
entropy, 20, sqrt, 100, 20, 1000, 0.365 , 2.9min
entropy, 20, log2, 1, 5, 200, 0.590 ,  47.6s
entropy, 20, log2, 1, 5, 1000, 0.648 , 3.8min
entropy, 10, log2, 50, 20, 200, 0.462 ,  35.8s
entropy, 10, log2, 50, 20, 1000, 0.437 , 2.9min
entropy, 10, log2, 100, 5, 500, 0.349 , 1.4min
entropy, 10, log2, 100, 10, 500, 0.335 , 1.4min
entropy, 10, log2, 100, 20, 500, 0.354 , 1.4min
entropy, 20, None, 1, 2, 200, 0.670 , 1.8min
entropy, 20, None, 1, 5, 200, 0.595 , 1.9min
entropy, 20, None, 1, 5, 500, 0.687 , 4.6min
entropy, 20, None, 1, 10, 200, 0.672 , 1.9min
entropy, 20, None, 1, 10, 1000, 0.667 , 8.9min
entropy, 20, None, 5, 2, 1000, 0.656 , 8.7min
entropy, 20, None, 5, 10, 500, 0.636 , 4.3min
entropy, 20, None, 5, 20, 500, 0.636 , 4.4min
entropy, 20, None, 20, 2, 200, 0.562 , 1.6min
entropy, 20, None, 20, 2, 1000, 0.561 , 7.9min
entropy, 20, None, 20, 10, 1000, 0.589 , 7.9min
entropy, 20, None, 50, 2, 500, 0.538 , 3.8min
entropy, 20, None, 50, 5, 200, 0.534 , 1.5min
entropy, 20, None, 50, 5, 1000, 0.539 , 7.3min
entropy, 20, None, 50, 20, 1000, 0.531 , 7.3min
entropy, 20, None, 100, 5, 500, 0.487 , 3.5min
entropy, 20, None, 100, 10, 500, 0.467 , 3.5min
entropy, 20, None, 100, 20, 500, 0.491 , 3.5min
entropy, 20, sqrt, 1, 2, 200, 0.635 ,  47.3s
entropy, 20, sqrt, 1, 2, 1000, 0.594 , 3.9min
entropy, 20, sqrt, 1, 10, 500, 0.588 , 2.0min
entropy, 20, sqrt, 1, 20, 200, 0.634 ,  48.0s
entropy, 20, sqrt, 1, 20, 1000, 0.608 , 3.7min
entropy, 20, sqrt, 5, 5, 500, 0.608 , 1.9min
entropy, 20, sqrt, 5, 10, 500, 0.602 , 1.9min
entropy, 20, sqrt, 5, 20, 500, 0.587 , 1.8min
entropy, 20, sqrt, 20, 2, 200, 0.525 ,  39.6s
entropy, 20, sqrt, 20, 2, 1000, 0.533 , 3.4min
entropy, 20, sqrt, 20, 10, 1000, 0.518 , 3.4min
entropy, 20, sqrt, 50, 2, 500, 0.461 , 1.6min
entropy, 20, sqrt, 50, 5, 500, 0.474 , 1.6min
entropy, 20, sqrt, 50, 10, 200, 0.460 ,  36.2s
entropy, 20, sqrt, 50, 10, 1000, 0.456 , 3.2min
entropy, 20, sqrt, 100, 2, 1000, 0.365 , 2.9min
entropy, 20, sqrt, 100, 10, 500, 0.352 , 1.5min
entropy, 20, sqrt, 100, 20, 500, 0.375 , 1.5min
entropy, 20, log2, 1, 2, 200, 0.635 ,  47.5s
entropy, 20, log2, 1, 2, 1000, 0.619 , 3.9min
entropy, 20, log2, 1, 10, 1000, 0.604 , 3.8min
entropy, 20, log2, 5, 2, 1000, 0.586 , 3.7min
entropy, 20, log2, 5, 10, 500, 0.565 , 1.9min
entropy, 20, log2, 5, 20, 200, 0.572 ,  43.3s
entropy, 20, sqrt, 1, 2, 200, 0.586 ,  53.4s
entropy, 20, sqrt, 1, 2, 200, 0.595 ,  47.9s
entropy, 20, sqrt, 1, 2, 1000, 0.583 , 3.9min
entropy, 20, sqrt, 1, 10, 200, 0.571 ,  44.0s
entropy, 20, sqrt, 1, 10, 1000, 0.633 , 3.8min
entropy, 20, sqrt, 5, 2, 500, 0.598 , 1.9min
entropy, 20, sqrt, 5, 5, 500, 0.585 , 1.9min
entropy, 20, sqrt, 5, 10, 200, 0.569 ,  43.7s
entropy, 20, sqrt, 5, 20, 200, 0.588 ,  48.5s
entropy, 20, sqrt, 5, 20, 200, 0.565 ,  45.2s
entropy, 20, sqrt, 5, 20, 1000, 0.587 , 3.6min
entropy, 20, sqrt, 20, 5, 500, 0.517 , 1.7min
entropy, 20, sqrt, 20, 10, 200, 0.533 ,  39.6s
entropy, 20, sqrt, 20, 20, 200, 0.539 ,  45.3s
entropy, 20, sqrt, 20, 20, 200, 0.533 ,  42.8s
entropy, 20, sqrt, 20, 20, 1000, 0.544 , 3.4min
entropy, 20, sqrt, 50, 5, 500, 0.450 , 1.6min
entropy, 20, sqrt, 50, 10, 500, 0.454 , 1.6min
entropy, 20, sqrt, 50, 20, 200, 0.460 ,  35.4s
entropy, 20, sqrt, 50, 20, 1000, 0.437 , 3.1min
entropy, 20, sqrt, 100, 5, 1000, 0.371 , 2.9min
entropy, 20, sqrt, 100, 20, 500, 0.344 , 1.4min
entropy, 20, log2, 1, 2, 500, 0.644 , 2.0min
entropy, 20, log2, 1, 5, 500, 0.635 , 2.0min
entropy, 20, log2, 1, 10, 500, 0.588 , 2.0min
entropy, 20, log2, 1, 20, 500, 0.607 , 1.9min
entropy, 20, log2, 5, 2, 200, 0.567 ,  43.8s
entropy, 20, log2, 5, 2, 1000, 0.607 , 3.7min
entropy, 20, log2, 5, 10, 1000, 0.589 , 3.7min
entropy, 20, log2, 20, 2, 500, 0.543 , 1.7min
entropy, 20, log2, 20, 5, 200, 0.523 ,  40.8s
entropy, 20, log2, 20, 5, 1000, 0.519 , 3.4min
entropy, 20, log2, 20, 20, 1000, 0.544 , 3.4min
entropy, 20, log2, 50, 5, 500, 0.451 , 1.6min
entropy, 20, log2, 50, 10, 200, 0.456 ,  36.9s
entropy, 20, log2, 50, 10, 1000, 0.439 , 3.1min
entropy, 20, log2, 100, 2, 1000, 0.357 , 2.9min
entropy, 20, log2, 100, 10, 500, 0.368 , 1.5min
entropy, 20, log2, 100, 20, 500, 0.366 , 1.5min
log_loss, None, None, 1, 2, 200, 0.590 , 1.9min
log_loss, None, None, 1, 5, 200, 0.595 , 1.9min
log_loss, None, None, 1, 5, 500, 0.611 , 4.6min
log_loss, None, None, 1, 10, 200, 0.686 , 1.9min
log_loss, None, None, 1, 10, 1000, 0.604 , 9.0min
log_loss, None, None, 5, 2, 1000, 0.657 , 8.7min
log_loss, None, None, 5, 10, 200, 0.630 , 1.7min
log_loss, None, None, 5, 20, 200, 0.638 , 1.9min
entropy, 20, sqrt, 50, 5, 200, 0.472 ,  43.4s
entropy, 20, sqrt, 50, 5, 200, 0.473 ,  38.9s
entropy, 20, sqrt, 50, 5, 1000, 0.470 , 3.2min
entropy, 20, sqrt, 50, 20, 500, 0.462 , 1.6min
entropy, 20, sqrt, 100, 2, 200, 0.365 ,  35.2s
entropy, 20, sqrt, 100, 2, 1000, 0.341 , 2.9min
entropy, 20, sqrt, 100, 10, 1000, 0.370 , 2.9min
entropy, 20, log2, 1, 2, 500, 0.644 , 2.0min
entropy, 20, log2, 1, 5, 500, 0.597 , 2.0min
entropy, 20, log2, 1, 10, 200, 0.630 ,  45.3s
entropy, 20, log2, 1, 20, 200, 0.606 ,  49.8s
entropy, 20, log2, 1, 20, 200, 0.566 ,  45.7s
entropy, 20, log2, 1, 20, 1000, 0.552 , 3.8min
entropy, 20, log2, 5, 5, 500, 0.569 , 1.9min
entropy, 20, log2, 5, 10, 200, 0.557 ,  43.6s
entropy, 20, log2, 5, 10, 1000, 0.605 , 3.7min
entropy, 20, log2, 20, 2, 1000, 0.519 , 3.3min
entropy, 20, log2, 20, 10, 500, 0.531 , 1.7min
entropy, 20, log2, 20, 20, 200, 0.530 ,  39.2s
entropy, 20, log2, 50, 2, 200, 0.476 ,  42.6s
entropy, 20, log2, 50, 2, 200, 0.475 ,  38.6s
entropy, 20, log2, 50, 2, 1000, 0.471 , 3.2min
entropy, 20, log2, 50, 10, 200, 0.462 ,  38.2s
entropy, 20, log2, 50, 20, 200, 0.468 ,  42.6s
entropy, 20, log2, 50, 20, 200, 0.476 ,  38.4s
entropy, 20, log2, 50, 20, 1000, 0.454 , 3.1min
entropy, 20, log2, 100, 5, 500, 0.368 , 1.5min
entropy, 20, log2, 100, 10, 500, 0.361 , 1.5min
entropy, 20, log2, 100, 20, 200, 0.345 ,  32.8s
entropy, 20, log2, 100, 20, 1000, 0.361 , 2.9min
log_loss, None, None, 1, 5, 200, 0.640 , 1.9min
log_loss, None, None, 1, 5, 1000, 0.674 , 9.2min
log_loss, None, None, 1, 20, 200, 0.642 , 1.8min
log_loss, None, None, 5, 2, 200, 0.668 , 1.9min
log_loss, None, None, 5, 2, 200, 0.608 , 1.8min
log_loss, None, None, 5, 2, 500, 0.634 , 4.4min
log_loss, None, None, 5, 5, 500, 0.610 , 4.3min
log_loss, None, None, 5, 10, 200, 0.676 , 1.7min
log_loss, None, None, 5, 10, 1000, 0.647 , 8.6min
log_loss, None, None, 20, 2, 1000, 0.593 , 8.0min
log_loss, None, None, 20, 10, 500, 0.593 , 4.0min
log_loss, None, None, 20, 20, 200, 0.593 , 1.6min
log_loss, None, None, 20, 20, 1000, 0.561 , 7.9min
log_loss, None, None, 50, 5, 1000, 0.538 , 7.4min
log_loss, None, None, 50, 20, 500, 0.537 , 3.7min
log_loss, None, None, 100, 2, 500, 0.481 , 3.4min
entropy, 20, sqrt, 20, 10, 500, 0.519 , 1.7min
entropy, 20, sqrt, 20, 20, 200, 0.538 ,  39.9s
entropy, 20, sqrt, 50, 2, 200, 0.472 ,  42.3s
entropy, 20, sqrt, 50, 2, 200, 0.476 ,  39.9s
entropy, 20, sqrt, 50, 2, 1000, 0.469 , 3.2min
entropy, 20, sqrt, 50, 10, 200, 0.458 ,  36.8s
entropy, 20, sqrt, 50, 20, 200, 0.470 ,  42.5s
entropy, 20, sqrt, 50, 20, 200, 0.472 ,  38.1s
entropy, 20, sqrt, 50, 20, 1000, 0.472 , 3.1min
entropy, 20, sqrt, 100, 5, 500, 0.361 , 1.5min
entropy, 20, sqrt, 100, 10, 500, 0.375 , 1.5min
entropy, 20, sqrt, 100, 20, 200, 0.355 ,  33.0s
entropy, 20, sqrt, 100, 20, 1000, 0.365 , 2.9min
entropy, 20, log2, 1, 5, 500, 0.648 , 2.0min
entropy, 20, log2, 1, 10, 200, 0.604 ,  46.4s
entropy, 20, log2, 1, 10, 1000, 0.646 , 3.9min
entropy, 20, log2, 5, 2, 1000, 0.564 , 3.7min
entropy, 20, log2, 5, 10, 500, 0.570 , 1.9min
entropy, 20, log2, 5, 20, 500, 0.571 , 1.8min
entropy, 20, log2, 20, 2, 500, 0.518 , 1.7min
entropy, 20, log2, 20, 5, 200, 0.536 ,  40.3s
entropy, 20, log2, 20, 10, 200, 0.540 ,  45.1s
entropy, 20, log2, 20, 10, 200, 0.532 ,  42.8s
entropy, 20, log2, 20, 10, 1000, 0.544 , 3.4min
entropy, 20, log2, 50, 2, 500, 0.472 , 1.6min
entropy, 20, log2, 50, 5, 200, 0.452 ,  38.0s
entropy, 20, log2, 50, 5, 1000, 0.455 , 3.1min
entropy, 20, log2, 50, 20, 500, 0.459 , 1.6min
entropy, 20, log2, 100, 2, 500, 0.366 , 1.5min
entropy, 20, log2, 100, 5, 500, 0.367 , 1.5min
entropy, 20, log2, 100, 10, 200, 0.344 ,  33.3s
entropy, 20, log2, 100, 20, 200, 0.367 ,  39.6s
entropy, 20, log2, 100, 20, 200, 0.373 ,  36.2s
entropy, 20, log2, 100, 20, 1000, 0.369 , 3.0min
log_loss, None, None, 1, 2, 1000, 0.664 , 9.1min
log_loss, None, None, 1, 10, 1000, 0.677 , 9.0min
log_loss, None, None, 5, 2, 1000, 0.675 , 8.7min
log_loss, None, None, 5, 10, 1000, 0.609 , 8.7min
log_loss, None, None, 20, 2, 500, 0.564 , 4.0min
log_loss, None, None, 20, 5, 500, 0.582 , 4.1min
log_loss, None, None, 20, 10, 200, 0.578 , 1.6min
log_loss, None, None, 20, 10, 1000, 0.564 , 7.9min
log_loss, None, None, 50, 2, 1000, 0.539 , 7.4min
log_loss, None, None, 50, 10, 500, 0.536 , 3.8min
log_loss, None, None, 50, 20, 500, 0.538 , 3.8min
log_loss, None, None, 100, 2, 200, 0.479 , 1.4min
entropy, 20, sqrt, 20, 5, 1000, 0.531 , 3.4min
entropy, 20, sqrt, 20, 20, 1000, 0.533 , 3.4min
entropy, 20, sqrt, 50, 5, 500, 0.463 , 1.6min
entropy, 20, sqrt, 50, 10, 500, 0.457 , 1.6min
entropy, 20, sqrt, 50, 20, 500, 0.471 , 1.6min
entropy, 20, sqrt, 100, 2, 200, 0.345 ,  35.6s
entropy, 20, sqrt, 100, 5, 200, 0.375 ,  40.6s
entropy, 20, sqrt, 100, 5, 200, 0.366 ,  36.5s
entropy, 20, sqrt, 100, 5, 1000, 0.366 , 2.9min
entropy, 20, sqrt, 100, 20, 500, 0.360 , 1.5min
entropy, 20, log2, 1, 2, 200, 0.619 ,  47.5s
entropy, 20, log2, 1, 5, 200, 0.648 ,  50.9s
entropy, 20, log2, 1, 5, 200, 0.637 ,  45.5s
entropy, 20, log2, 1, 5, 1000, 0.640 , 3.9min
entropy, 20, log2, 1, 20, 1000, 0.567 , 3.8min
entropy, 20, log2, 5, 5, 500, 0.589 , 1.9min
entropy, 20, log2, 5, 10, 200, 0.549 ,  43.0s
entropy, 20, log2, 5, 10, 1000, 0.591 , 3.7min
entropy, 20, log2, 20, 2, 1000, 0.534 , 3.4min
entropy, 20, log2, 20, 10, 500, 0.528 , 1.8min
entropy, 20, log2, 20, 20, 500, 0.519 , 1.7min
entropy, 20, log2, 50, 2, 200, 0.452 ,  37.1s
entropy, 20, log2, 50, 2, 1000, 0.459 , 3.2min
entropy, 20, log2, 50, 10, 1000, 0.455 , 3.2min
entropy, 20, log2, 100, 2, 500, 0.364 , 1.5min
entropy, 20, log2, 100, 5, 200, 0.359 ,  34.2s
entropy, 20, log2, 100, 10, 200, 0.351 ,  38.9s
entropy, 20, log2, 100, 10, 200, 0.364 ,  36.1s
entropy, 20, log2, 100, 10, 1000, 0.359 , 2.9min
log_loss, None, None, 1, 2, 500, 0.665 , 4.6min
log_loss, None, None, 1, 5, 1000, 0.684 , 9.1min
log_loss, None, None, 1, 20, 500, 0.642 , 4.5min
log_loss, None, None, 5, 2, 500, 0.667 , 4.4min
log_loss, None, None, 5, 5, 200, 0.636 , 1.7min
log_loss, None, None, 5, 5, 1000, 0.682 , 8.6min
log_loss, None, None, 5, 20, 1000, 0.638 , 8.6min
log_loss, None, None, 20, 5, 500, 0.593 , 4.0min
log_loss, None, None, 20, 10, 500, 0.588 , 4.0min
log_loss, None, None, 20, 20, 200, 0.562 , 1.6min
log_loss, None, None, 50, 2, 200, 0.540 , 1.6min
log_loss, None, None, 50, 2, 200, 0.537 , 1.6min
log_loss, None, None, 50, 2, 500, 0.538 , 3.8min
log_loss, None, None, 50, 5, 500, 0.539 , 3.8min
log_loss, None, None, 50, 10, 200, 0.538 , 1.4min
log_loss, None, None, 50, 10, 1000, 0.540 , 7.3min
log_loss, None, None, 100, 2, 1000, 0.486 , 6.9min
entropy, 20, sqrt, 5, 2, 1000, 0.566 , 3.7min
entropy, 20, sqrt, 5, 10, 500, 0.603 , 1.9min
entropy, 20, sqrt, 5, 20, 200, 0.549 ,  41.9s
entropy, 20, sqrt, 5, 20, 1000, 0.555 , 3.7min
entropy, 20, sqrt, 20, 5, 1000, 0.531 , 3.4min
entropy, 20, sqrt, 20, 20, 500, 0.533 , 1.7min
entropy, 20, sqrt, 50, 2, 500, 0.457 , 1.6min
entropy, 20, sqrt, 50, 5, 200, 0.444 ,  36.0s
entropy, 20, sqrt, 50, 10, 200, 0.472 ,  42.2s
entropy, 20, sqrt, 50, 10, 200, 0.476 ,  38.3s
entropy, 20, sqrt, 50, 10, 1000, 0.459 , 3.1min
entropy, 20, sqrt, 100, 2, 500, 0.368 , 1.5min
entropy, 20, sqrt, 100, 5, 500, 0.356 , 1.5min
entropy, 20, sqrt, 100, 10, 200, 0.360 ,  33.2s
entropy, 20, sqrt, 100, 10, 1000, 0.348 , 2.9min
entropy, 20, log2, 1, 2, 1000, 0.657 , 3.8min
entropy, 20, log2, 1, 10, 500, 0.588 , 1.9min
entropy, 20, log2, 1, 20, 500, 0.565 , 1.9min
entropy, 20, log2, 5, 2, 200, 0.591 ,  44.8s
entropy, 20, log2, 5, 2, 1000, 0.600 , 3.7min
entropy, 20, log2, 5, 10, 1000, 0.584 , 3.7min
entropy, 20, log2, 20, 2, 500, 0.534 , 1.7min
entropy, 20, log2, 20, 5, 500, 0.531 , 1.7min
entropy, 20, log2, 20, 10, 200, 0.529 ,  40.1s
entropy, 20, log2, 20, 10, 1000, 0.535 , 3.4min
entropy, 20, log2, 50, 2, 1000, 0.457 , 3.1min
entropy, 20, log2, 50, 10, 500, 0.473 , 1.6min
entropy, 20, log2, 50, 20, 200, 0.455 ,  37.5s
entropy, 20, log2, 50, 20, 1000, 0.451 , 3.1min
entropy, 20, log2, 100, 5, 1000, 0.369 , 2.9min
entropy, 20, log2, 100, 20, 500, 0.370 , 1.5min
log_loss, None, None, 1, 2, 500, 0.602 , 4.5min
log_loss, None, None, 1, 5, 1000, 0.610 , 9.1min
log_loss, None, None, 1, 20, 500, 0.690 , 4.6min
log_loss, None, None, 5, 2, 500, 0.609 , 4.4min
log_loss, None, None, 5, 5, 200, 0.685 , 1.7min
log_loss, None, None, 5, 5, 1000, 0.635 , 8.7min
log_loss, None, None, 5, 20, 1000, 0.608 , 8.5min
log_loss, None, None, 20, 5, 500, 0.561 , 4.0min
log_loss, None, None, 20, 10, 500, 0.561 , 4.1min
log_loss, None, None, 20, 20, 500, 0.574 , 4.0min
log_loss, None, None, 50, 2, 200, 0.540 , 1.4min
log_loss, None, None, 50, 2, 1000, 0.539 , 7.4min
log_loss, None, None, 50, 10, 1000, 0.537 , 7.4min
log_loss, None, None, 100, 2, 500, 0.475 , 3.5min
log_loss, None, None, 100, 5, 200, 0.485 , 1.4min
entropy, 20, sqrt, 5, 20, 200, 0.550 ,  43.3s
entropy, 20, sqrt, 5, 20, 1000, 0.569 , 3.7min
entropy, 20, sqrt, 20, 5, 1000, 0.520 , 3.4min
entropy, 20, sqrt, 20, 20, 500, 0.537 , 1.7min
entropy, 20, sqrt, 50, 2, 500, 0.450 , 1.6min
entropy, 20, sqrt, 50, 5, 500, 0.473 , 1.6min
entropy, 20, sqrt, 50, 10, 200, 0.444 ,  35.8s
entropy, 20, sqrt, 50, 10, 1000, 0.446 , 3.1min
entropy, 20, sqrt, 100, 2, 1000, 0.359 , 2.9min
entropy, 20, sqrt, 100, 10, 500, 0.362 , 1.5min
entropy, 20, sqrt, 100, 20, 500, 0.361 , 1.5min
entropy, 20, log2, 1, 2, 200, 0.575 ,  47.5s
entropy, 20, log2, 1, 2, 1000, 0.634 , 3.9min
entropy, 20, log2, 1, 10, 1000, 0.589 , 3.8min
entropy, 20, log2, 5, 2, 500, 0.604 , 1.8min
entropy, 20, log2, 5, 5, 500, 0.587 , 1.9min
entropy, 20, log2, 5, 10, 500, 0.548 , 1.9min
entropy, 20, log2, 5, 20, 500, 0.546 , 1.9min
entropy, 20, log2, 20, 2, 200, 0.528 ,  40.2s
entropy, 20, log2, 20, 2, 1000, 0.537 , 3.4min
entropy, 20, log2, 20, 10, 1000, 0.517 , 3.4min
entropy, 20, log2, 50, 2, 500, 0.452 , 1.6min
entropy, 20, log2, 50, 5, 200, 0.447 ,  36.9s
entropy, 20, log2, 50, 5, 1000, 0.453 , 3.1min
entropy, 20, log2, 50, 20, 1000, 0.473 , 3.1min
entropy, 20, log2, 100, 5, 500, 0.346 , 1.4min
entropy, 20, log2, 100, 10, 500, 0.374 , 1.5min
entropy, 20, log2, 100, 20, 200, 0.359 ,  34.6s
log_loss, None, None, 1, 2, 200, 0.670 , 1.8min
log_loss, None, None, 1, 2, 1000, 0.601 , 9.1min
log_loss, None, None, 1, 10, 1000, 0.705 , 9.1min
log_loss, None, None, 5, 2, 500, 0.684 , 4.4min
log_loss, None, None, 5, 5, 500, 0.634 , 4.4min
log_loss, None, None, 5, 10, 500, 0.667 , 4.3min
log_loss, None, None, 5, 20, 200, 0.638 , 1.8min
log_loss, None, None, 5, 20, 1000, 0.622 , 8.6min
log_loss, None, None, 20, 10, 200, 0.600 , 1.7min
log_loss, None, None, 20, 10, 200, 0.589 , 1.6min
log_loss, None, None, 20, 10, 1000, 0.582 , 8.1min
log_loss, None, None, 50, 2, 500, 0.540 , 3.8min
log_loss, None, None, 50, 5, 200, 0.530 , 1.5min
log_loss, None, None, 50, 5, 1000, 0.536 , 7.4min
log_loss, None, None, 50, 20, 1000, 0.537 , 7.4min
log_loss, None, None, 100, 5, 500, 0.485 , 3.5min
log_loss, None, None, 100, 10, 500, 0.474 , 3.5min
log_loss, None, None, 100, 20, 500, 0.490 , 3.5min
